"Rk.x","Player","Debut.x","Age.x","Yrs.x","G.x","MP...7.x","FG.x","FGA.x","3P.x","3PA.x","FT.x","FTA.x","ORB.x","TRB...15.x","AST...16.x","STL...17.x","BLK...18.x","TOV.x","PF.x","PTS...21.x","FG%.x","3P%.x","FT%.x","MP...25.x","PTS...26.x","TRB...27.x","AST...28.x","STL...29.x","BLK...30.x","year","first_team","Rk.y","Debut.y","Age.y","Yrs.y","G.y","MP...7.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB...15.y","AST...16.y","STL...17.y","BLK...18.y","TOV.y","PF.y","PTS...21.y","FG%.y","3P%.y","FT%.y","MP...25.y","PTS...26.y","TRB...27.y","AST...28.y","STL...29.y","BLK...30.y"
47,"Derrick Rose","Oct 28, '08, CHI vs. MIL",20,1,81,3000,574,1208,16,72,197,250,96,317,512,66,18,202,125,1361,0.475,0.222,0.788,37,16.8,3.9,6.3,0.8,0.2,2008,"CHI",47,"Oct 28, '08, CHI vs. MIL",20,15,723,22054,4921,10798,590,1866,2141,2575,553,2324,3770,536,242,1746,887,12573,0.456,0.316,0.831,30.5,17.4,3.2,5.2,0.7,0.3
48,"Brandon Rush","Oct 29, '08, IND @ DET",23,1,75,1803,243,575,78,209,46,66,34,233,66,38,37,75,128,610,0.423,0.373,0.697,24,8.1,3.1,0.9,0.5,0.5,2008,"IND",48,"Oct 29, '08, IND @ DET",23,9,481,10564,1220,2861,522,1300,288,408,187,1413,468,222,262,400,620,3250,0.426,0.402,0.706,22,6.8,2.9,1,0.5,0.5
49,"Walter Sharpe","Nov 3, '08, DET @ CHA",22,1,8,20,4,11,0,2,0,2,0,3,0,0,2,0,3,8,0.364,0,0,2.5,1,0.4,0,0,0.3,2008,"DET",49,"Nov 3, '08, DET @ CHA",22,1,8,20,4,11,0,2,0,2,0,3,0,0,2,0,3,8,0.364,0,0,2.5,1,0.4,0,0,0.3
50,"Sean Singletary","Nov 4, '08, PHO @ NJN",23,1,37,303,31,85,10,25,18,21,10,35,29,11,0,23,45,90,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0.3,0,2008,"PHO",50,"Nov 4, '08, PHO @ NJN",23,1,37,303,31,85,10,25,18,21,10,35,29,11,0,23,45,90,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0.3,0
51,"Marreese Speights","Oct 31, '08, PHI vs. NYK",21,1,79,1263,252,502,2,8,102,132,123,293,30,27,56,46,181,608,0.502,0.25,0.773,16,7.7,3.7,0.4,0.3,0.7,2008,"PHI",51,"Oct 31, '08, PHI vs. NYK",21,10,705,10640,2181,4750,232,651,998,1252,947,2875,461,189,356,614,1564,5592,0.459,0.356,0.797,15.1,7.9,4.1,0.7,0.3,0.5
52,"Mike Taylor","Oct 29, '08, LAC vs. LAL",23,1,51,771,110,267,13,40,56,81,22,87,106,36,0,73,84,289,0.412,0.325,0.691,15.1,5.7,1.7,2.1,0.7,0,2008,"LAC",52,"Oct 29, '08, LAC vs. LAL",23,1,51,771,110,267,13,40,56,81,22,87,106,36,0,73,84,289,0.412,0.325,0.691,15.1,5.7,1.7,2.1,0.7,0
53,"Jason Thompson","Oct 29, '08, SAC @ MIN",22,1,82,2303,356,717,0,8,198,286,234,606,93,46,59,146,314,910,0.497,0,0.692,28.1,11.1,7.4,1.1,0.6,0.7,2008,"SAC",53,"Oct 29, '08, SAC @ MIN",22,8,588,14819,2112,4255,6,42,980,1492,1264,3880,635,283,414,747,1751,5210,0.496,0.143,0.657,25.2,8.9,6.6,1.1,0.5,0.7
54,"Anthony Tolliver","Nov 7, '08, SAS vs. MIA",23,1,19,208,19,65,9,41,5,10,12,41,17,5,1,7,16,52,0.292,0.22,0.5,10.9,2.7,2.2,0.9,0.3,0.1,2008,"SAS",54,"Nov 7, '08, SAS vs. MIA",23,13,730,14197,1466,3538,865,2320,654,848,545,2416,650,272,215,462,1171,4451,0.414,0.373,0.771,19.4,6.1,3.3,0.9,0.4,0.3
55,"Roko Ukić","Oct 29, '08, TOR @ PHI",24,1,72,890,123,324,11,62,44,60,27,75,153,30,2,60,77,301,0.38,0.177,0.733,12.4,4.2,1,2.1,0.4,0,2008,"TOR",55,"Oct 29, '08, TOR @ PHI",24,2,85,987,137,354,14,74,53,71,27,78,165,31,2,66,83,341,0.387,0.189,0.746,11.6,4,0.9,1.9,0.4,0
56,"Henry Walker","Nov 7, '08, BOS vs. MIL",21,1,29,216,36,58,0,1,16,23,8,29,13,6,2,18,51,88,0.621,0,0.696,7.4,3,1,0.4,0.2,0.1,2008,"BOS",56,"Nov 7, '08, BOS vs. MIL",21,5,181,3016,386,865,190,515,117,154,55,401,153,93,27,142,375,1079,0.446,0.369,0.76,16.7,6,2.2,0.8,0.5,0.1
57,"Kyle Weaver","Oct 29, '08, OKC vs. MIL",22,1,56,1166,113,246,32,93,41,58,31,130,101,47,25,69,81,299,0.459,0.344,0.707,20.8,5.3,2.3,1.8,0.8,0.4,2008,"OKC",57,"Oct 29, '08, OKC vs. MIL",22,3,73,1379,134,304,42,119,53,72,34,158,119,55,33,80,97,363,0.441,0.353,0.736,18.9,5,2.2,1.6,0.8,0.5
58,"Sonny Weems","Jan 17, '09, DEN vs. ORL",22,1,12,55,8,25,0,3,3,8,0,4,3,1,0,6,8,19,0.32,0,0.375,4.6,1.6,0.3,0.3,0.1,0,2008,"DEN",58,"Jan 17, '09, DEN vs. ORL",22,4,183,3335,514,1106,34,120,127,181,88,402,257,84,28,198,268,1189,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0.5,0.2
59,"Russell Westbrook","Oct 29, '08, OKC vs. MIL",20,1,82,2668,436,1095,35,129,349,428,178,399,435,110,16,274,191,1256,0.398,0.271,0.815,32.5,15.3,4.9,5.3,1.3,0.2,2008,"OKC",59,"Oct 29, '08, OKC vs. MIL",20,16,1162,39081,9055,20659,1273,4186,5828,7512,1872,8307,9468,1849,369,4587,2969,25211,0.438,0.304,0.776,33.6,21.7,7.1,8.1,1.6,0.3
