,"MPSSAA Basketball History of Finalists, 1947-2024",,,,,,
,GIRLS,,,,BOYS,,
,TEAM,YEAR,Final Standing,,TEAM,YEAR,Standing
,HAMMOND,1993,Finalist,,HEREFORD,1968, Semifinalist
,BLADENSBURG,1993,Champion,,MOUNT SAVAGE,1968, Semifinalist
,EASTON,1993,Champion,,NORTHERN (G),1968, Semifinalist
,MILFORD MILL,1993, Semifinalist,,SOMERSET,1968, Semifinalist
,OXON HILL,1993, Semifinalist,,FREDERICK,1968, Finalist
,PARKSIDE,1993, Semifinalist,,HENRY E. LACKEY,1968, Finalist
,SPRINGBROOK,1993, Semifinalist,,WALT WHITMAN,1968, Finalist
,WESTERN (B),1993, Finalist,,EASTON,1968, Champion
,WALT WHITMAN,1993, Finalist,,FAIRMONT HEIGHTS,1968, Champion
,WILLIAMSPORT,1993, Finalist,,GWYNN PARK,1968, Champion
,MIDDLETOWN,1993, Champion,,NORTHWESTERN (PG),1968, Champion
,OLD MILL,1993, Champion,,ANNAPOLIS,1969, Semifinalist
,ANNAPOLIS,1994,Semifinalist,,CATONSVILLE,1969, Semifinalist
,CATOCTIN,1994,Semifinalist,,WINSTON CHURCHILL,1969, Semifinalist
,DUVAL,1994,Semifinalist,,DUNDALK,1969, Semifinalist
,FALLSTON,1994,Semifinalist,,HAVRE DE GRACE,1969, Semifinalist
,EASTON,1994,Champion,,MACE'S LANE,1969, Semifinalist
,HAMMOND,1994,Champion,,MOUNT SAVAGE,1969, Semifinalist
,HOWARD,1994,Champion,,VALLEY,1969, Semifinalist
,OXON HILL,1994, Semifinalist,,DUVAL,1969, Finalist
,RANDALLSTOWN,1994, Semifinalist,,FREDERICK,1969, Finalist
,SOUTH RIVER,1994, Semifinalist,,MONTGOMERY BLAIR,1969, Champion
,SOUTHERN (G),1994, Semifinalist,,CENTRAL (PG),1969, Champion
,WALT WHITMAN,1994, Semifinalist,,FAIRMONT HEIGHTS,1969, Champion
,MIDDLETOWN,1994, Finalist,,GWYNN PARK,1969, Champion
,SHERWOOD,1994, Finalist,,ARUNDEL,1970, Semifinalist
,WESTERN (B),1994, Champion,,BRUNSWICK,1970, Semifinalist
,MONTGOMERY BLAIR,1995,Semifinalist,,CRISFIELD,1970, Semifinalist
,ARUNDEL,1995,Finalist,,DUNDALK,1970, Semifinalist
,BLADENSBURG,1995,Finalist,,HAVRE DE GRACE,1970, Semifinalist
,FALLSTON,1995,Finalist,,NORTH HAGERSTOWN,1970, Semifinalist
,HAMMOND,1995,Champion,,SHERWOOD,1970, Semifinalist
,OXON HILL,1995, Semifinalist,,SOUTHERN (AA),1970, Semifinalist
